#./overdamped_3d --dev=1 --amp=40.0 --omega=1.0 --force=0 --Dg=0.01 --block=256 --paths=262144 --periods=1000 --trans=100 --samples=100 --spp=500 --algorithm=euler --pav=1 --mode=moments --domain=1d --domainx=g:-0.997:0.997:300:0 --domainy=a:0:10:100:0 --domainz=D:-6:-1:100:1 --q=2 --eps=0 --phi=1.57079632679 --lambda=30.0 --zeta=0.0333333333333 --comp=0 --mean=1.0 --second=0.1 --skew=0.99 --distribution=s>> journal_5_s_0.1_g:-0.997:0.997:300:0_1.0_30.0_40.0.dat
#g <<v>> qnu(q) mu_q Dx Gx EBx
-2.592182e-01 -1.967137e-06 1.280585e-02 7.709749e+00 6.136554e-04 -1.861435e-01 1.721978e-03
-2.525715e-01 -1.752534e-06 1.302016e-02 7.725895e+00 6.149306e-04 -1.883917e-01 1.749754e-03
-2.459249e-01 -1.763791e-06 1.321787e-02 7.731244e+00 6.153327e-04 -1.912526e-01 1.749158e-03
-2.392782e-01 -2.107957e-06 1.248000e-02 7.709138e+00 6.136030e-04 -1.856992e-01 1.729012e-03
-2.326315e-01 -1.170239e-06 1.258781e-02 7.683299e+00 6.115139e-04 -1.850283e-01 1.746297e-03
-2.259849e-01 -1.295080e-06 1.319941e-02 7.731028e+00 6.153109e-04 -1.918279e-01 1.716375e-03
-2.193382e-01 -1.787317e-06 1.316575e-02 7.738149e+00 6.159035e-04 -1.979998e-01 1.718998e-03
-2.126915e-01 -1.822691e-06 1.294894e-02 7.716467e+00 6.141788e-04 -1.882253e-01 1.738548e-03
-2.060449e-01 -1.511664e-06 1.174673e-02 7.700398e+00 6.128997e-04 -1.906053e-01 1.721025e-03
-1.993982e-01 -8.347587e-07 1.349318e-02 7.725531e+00 6.148724e-04 -1.895970e-01 1.699924e-03
-1.927516e-01 -9.492277e-07 1.589551e-02 7.750527e+00 6.168857e-04 -1.785905e-01 1.744032e-03
-1.861049e-01 -7.394734e-07 1.666431e-02 7.742658e+00 6.162539e-04 -1.646248e-01 1.726151e-03
-1.794582e-01 -8.014932e-07 1.697907e-02 7.752781e+00 6.170790e-04 -1.750849e-01 1.730323e-03
