#./munderdamped_3d_gle_ratchet --dev=2 --amp=17.0 --omega=11.0 --force=0.0 --mass=0.525 --Dg=0.001 --tau=0.1 --block=1024 --paths=65536 --periods=5000 --trans=4000 --samples=400 --spp=400 --algorithm=predcorr --pav=1 --mode=moments --domain=3d --domainx=t:0.0:0.1:100:0 --domainy=a:17.0:17.0:1:0 --domainz=w:11.0:11.0:1:0 --q=2 --eps=0 --phi=0 --lambda=0 --Dp=0 --comp=0 --mean=0 >> temp/f0.0-D0.001-m0.525-a17.0-w11.0-t_0.0_0.1-ratchet.dat
#t a w <<v>> <<v^2>> qnu(q) mu_q Dx Gx EBx
7.799998e-02 1.700000e+01 1.100000e+01 -1.750132e+00 9.911434e+00 2.130573e-04 3.337416e+03 1.505255e+00 2.406616e+00 -5.490780e-04
7.899998e-02 1.700000e+01 1.100000e+01 -1.750132e+00 9.917220e+00 1.698075e-04 3.293850e+03 1.455535e+00 2.194452e+00 -5.476475e-04
7.999998e-02 1.700000e+01 1.100000e+01 -1.750132e+00 9.936359e+00 1.975731e-04 3.227318e+03 1.440129e+00 2.033429e+00 -5.490780e-04
8.099999e-02 1.700000e+01 1.100000e+01 -1.750132e+00 9.950197e+00 2.527887e-04 3.140833e+03 1.482496e+00 2.089310e+00 -5.443692e-04
8.199999e-02 1.700000e+01 1.100000e+01 -1.750132e+00 9.954309e+00 2.425123e-04 3.145917e+03 1.523463e+00 2.318314e+00 -5.495548e-04
8.299999e-02 1.700000e+01 1.100000e+01 -1.750132e+00 9.962191e+00 1.688045e-04 3.018767e+03 1.511908e+00 1.979908e+00 -5.479455e-04
8.399999e-02 1.700000e+01 1.100000e+01 -1.750132e+00 9.981819e+00 2.210153e-04 2.952108e+03 1.433477e+00 1.846079e+00 -5.469322e-04
8.499999e-02 1.700000e+01 1.100000e+01 -1.750132e+00 9.991173e+00 1.663669e-04 2.926794e+03 1.440129e+00 2.020393e+00 -5.470514e-04
8.600000e-02 1.700000e+01 1.100000e+01 -1.750132e+00 9.994585e+00 2.417228e-04 2.938928e+03 1.392510e+00 2.101493e+00 -5.486608e-04
8.700000e-02 1.700000e+01 1.100000e+01 -1.750132e+00 9.999265e+00 1.722992e-04 2.918593e+03 1.399163e+00 2.167334e+00 -5.481839e-04
