#./overdamped_3d --dev=1 --amp=40 --omega=1 --force=0 --Dg=0.01 --block=256 --paths=16384 --periods=1000 --trans=100 --samples=100 --spp=1000 --algorithm=euler --pav=1 --mode=moments --domain=2d --domainx=l:1.95:3.05:100:1 --domainy=a:0.95:2.05:100:1 --domainz=D:-6:-1:100:1 --q=2 --eps=0 --phi=1.57079632679 --lambda=30.0 --zeta=0.0333333333333 --comp=0 --mean=1.0 --second=3.14 --skew=0.99 --distribution=s>> symmetric_var_lam_l:1.95:3.05:100:1_a:0.95:2.05:100:1_40_0.99_1.0.dat
#l a <<v>> qnu(q) mu_q Dx Gx EBx
3.589186e+02 9.141131e+00 1.027677e+00 9.989139e-01 6.855785e+06 5.455745e+02 -4.055983e-02 2.442598e-04
3.681255e+02 9.141131e+00 1.032570e+00 1.014115e+00 7.485334e+06 5.956663e+02 -2.488369e-02 2.311468e-04
3.775686e+02 9.141131e+00 1.025564e+00 9.801459e-01 7.064657e+06 5.621782e+02 -5.938065e-02 2.187490e-04
3.872539e+02 9.141131e+00 1.005900e+00 9.954117e-01 7.360769e+06 5.857576e+02 -9.646600e-02 2.318621e-04
3.971876e+02 9.141131e+00 1.037305e+00 1.000704e+00 7.659108e+06 6.094663e+02 -5.379361e-02 2.163649e-04
4.073762e+02 9.141131e+00 1.029965e+00 1.006164e+00 7.575522e+06 6.028388e+02 -7.827717e-02 2.307892e-04
4.178260e+02 9.141131e+00 1.010211e+00 1.009447e+00 8.443060e+06 6.718713e+02 -8.008426e-02 2.248287e-04
4.285440e+02 9.141131e+00 1.007124e+00 9.753425e-01 7.951984e+06 6.328000e+02 -7.108444e-02 2.303123e-04
4.395369e+02 9.141131e+00 1.046066e+00 1.034030e+00 8.948257e+06 7.120910e+02 -2.572805e-02 2.311468e-04
4.508118e+02 9.141131e+00 1.034900e+00 1.022389e+00 9.034805e+06 7.189732e+02 3.105891e-02 2.317429e-04
4.623759e+02 9.141131e+00 1.037735e+00 9.942396e-01 8.566615e+06 6.817182e+02 -6.498361e-02 2.321005e-04
4.742366e+02 9.141131e+00 1.024859e+00 1.018439e+00 9.374703e+06 7.460165e+02 -1.992226e-02 2.158880e-04
4.864016e+02 9.141131e+00 1.010673e+00 9.674596e-01 8.663543e+06 6.894016e+02 -3.070736e-02 2.183914e-04
4.988787e+02 9.141131e+00 1.015304e+00 9.707808e-01 9.855754e+06 7.843177e+02 4.445577e-02 2.264977e-04
5.116758e+02 9.141131e+00 1.034619e+00 9.762343e-01 9.640518e+06 7.671828e+02 -3.960496e-02 2.351999e-04
5.248011e+02 9.141131e+00 1.003146e+00 1.035881e+00 1.118022e+07 8.896981e+02 -4.744709e-02 2.276897e-04
5.382632e+02 9.141131e+00 9.924788e-01 1.035995e+00 1.118698e+07 8.902418e+02 -1.267809e-02 2.210140e-04
5.520706e+02 9.141131e+00 1.027363e+00 1.044809e+00 1.224552e+07 9.744493e+02 -5.924332e-02 2.301931e-04
5.662322e+02 9.141131e+00 1.001812e+00 9.933308e-01 1.098176e+07 8.739150e+02 -9.376305e-02 2.273321e-04
5.807570e+02 9.141131e+00 1.007961e+00 1.024760e+00 1.226195e+07 9.757923e+02 -3.302866e-02 2.191067e-04
5.956544e+02 9.141131e+00 9.694129e-01 1.000636e+00 1.187000e+07 9.446107e+02 -9.139800e-02 2.381802e-04
6.109340e+02 9.141131e+00 1.024173e+00 1.008959e+00 1.163286e+07 9.256970e+02 -1.497424e-02 2.293587e-04
6.266055e+02 9.141131e+00 1.001560e+00 1.040400e+00 1.313236e+07 1.045037e+03 -4.436785e-02 2.090931e-04
6.426790e+02 9.141131e+00 9.994226e-01 9.704189e-01 1.171056e+07 9.318904e+02 -4.843974e-02 2.211332e-04
6.591649e+02 9.141131e+00 1.008010e+00 9.984280e-01 1.284705e+07 1.022338e+03 -3.410459e-02 2.092123e-04
6.760735e+02 9.141131e+00 1.004733e+00 1.016440e+00 1.371285e+07 1.091217e+03 -6.859869e-02 2.094507e-04
6.934160e+02 9.141131e+00 9.291164e-01 1.009334e+00 1.439926e+07 1.145831e+03 -1.965874e-02 2.249479e-04
7.112034e+02 9.141131e+00 9.643064e-01 1.041892e+00 1.522587e+07 1.211653e+03 -4.278600e-02 2.088547e-04
7.294470e+02 9.141131e+00 9.962999e-01 1.007736e+00 1.491126e+07 1.186579e+03 7.406867e-02 2.341270e-04
7.481585e+02 9.141131e+00 1.041558e+00 9.885483e-01 1.554639e+07 1.237121e+03 1.038949e-01 2.081394e-04
7.673501e+02 9.141131e+00 1.025112e+00 9.641412e-01 1.412454e+07 1.124000e+03 -1.256359e-02 2.350807e-04
7.870339e+02 9.141131e+00 9.955643e-01 9.503602e-01 1.462196e+07 1.163573e+03 2.939618e-02 2.382994e-04
8.072227e+02 9.141131e+00 9.914528e-01 9.795017e-01 1.582659e+07 1.259447e+03 3.460193e-02 2.065897e-04
8.279294e+02 9.141131e+00 1.011646e+00 1.014636e+00 1.775909e+07 1.413215e+03 -4.805350e-02 2.232790e-04
8.491672e+02 9.141131e+00 9.942179e-01 1.038273e+00 1.816391e+07 1.445432e+03 -2.746862e-02 2.280474e-04
8.709498e+02 9.141131e+00 1.029869e+00 9.903374e-01 1.749454e+07 1.392143e+03 -6.361353e-02 2.461672e-04
