#./underdamped_3d_long --dev=0 --amp=3.3 --omega=4.04 --force=0.004 --gam=0.08 --Dg=0.1 --block=1024 --paths=65536 --periods=2000000 --trans=1998000 --samples=20 --spp=200 --algorithm=predcorr --pav=1 --mode=moments --domain=3d --domainx=D:-6:-5:50:1 --domainy=a:3.3:3.3:1:0 --domainz=w:4.04:4.04:1:0 --q=2 --eps=0 --phi=0 --lambda=0 --Dp=0 --comp=0 --mean=0 >> ./temp/3d-Daw-f0.004-g0.08-a3.3-w4.04-part0.dat
#D a w <<v>> <<v^2>> qnu(q) mu_q Dx Gx EBx
1.659586e-04 3.300000e+00 4.040000e+00 7.885338e-03 1.855381e+00 1.080945e+00 1.480355e+07 2.378698e+00 2.990484e-03 7.302761e-04
1.737800e-04 3.300000e+00 4.040000e+00 7.870648e-03 1.854926e+00 1.241032e+00 1.440514e+07 2.316179e+00 2.136588e-03 7.171631e-04
1.819700e-04 3.300000e+00 4.040000e+00 7.835729e-03 1.853965e+00 9.857174e-01 1.400360e+07 2.251829e+00 3.287792e-04 6.970167e-04
1.905460e-04 3.300000e+00 4.040000e+00 7.672044e-03 1.853394e+00 7.397714e-01 1.366776e+07 2.196666e+00 1.901388e-03 6.636381e-04
1.995261e-04 3.300000e+00 4.040000e+00 8.049750e-03 1.853205e+00 8.980358e-01 1.332500e+07 2.140546e+00 -6.575108e-03 6.617308e-04
2.089295e-04 3.300000e+00 4.040000e+00 7.908467e-03 1.852497e+00 8.293282e-01 1.321282e+07 2.124374e+00 -6.821215e-03 6.321669e-04
2.187760e-04 3.300000e+00 4.040000e+00 7.795809e-03 1.852323e+00 5.622901e-01 1.288916e+07 2.070703e+00 1.288545e-02 6.277561e-04
2.290866e-04 3.300000e+00 4.040000e+00 7.903325e-03 1.851960e+00 8.635696e-01 1.265572e+07 2.035097e+00 -9.244978e-03 6.217957e-04
2.398831e-04 3.300000e+00 4.040000e+00 7.728214e-03 1.851328e+00 1.075180e+00 1.247988e+07 2.006240e+00 -5.193591e-03 6.229877e-04
2.511884e-04 3.300000e+00 4.040000e+00 8.083886e-03 1.850747e+00 7.987982e-01 1.213067e+07 1.950274e+00 9.009719e-03 5.992651e-04
2.630266e-04 3.300000e+00 4.040000e+00 7.697694e-03 1.850236e+00 6.710998e-01 1.197033e+07 1.925151e+00 -1.558840e-03 5.909204e-04
2.754226e-04 3.300000e+00 4.040000e+00 7.960888e-03 1.850097e+00 1.039047e+00 1.180654e+07 1.897652e+00 -6.294966e-03 5.924702e-04
2.884029e-04 3.300000e+00 4.040000e+00 7.807294e-03 1.849207e+00 8.750393e-01 1.163329e+07 1.869690e+00 7.498503e-03 5.781651e-04
3.019948e-04 3.300000e+00 4.040000e+00 7.828374e-03 1.849155e+00 1.147723e+00 1.150783e+07 1.850874e+00 -5.322576e-03 5.778074e-04
3.162274e-04 3.300000e+00 4.040000e+00 7.882213e-03 1.848631e+00 1.305899e+00 1.120363e+07 1.802943e+00 -9.336054e-03 5.375147e-04
3.311308e-04 3.300000e+00 4.040000e+00 7.781752e-03 1.848234e+00 9.495482e-01 1.113340e+07 1.790700e+00 3.984690e-03 5.284548e-04
3.467364e-04 3.300000e+00 4.040000e+00 7.678447e-03 1.847731e+00 9.569592e-01 1.094280e+07 1.759919e+00 6.565571e-03 5.372763e-04
3.630776e-04 3.300000e+00 4.040000e+00 8.174776e-03 1.847110e+00 1.119112e+00 1.096076e+07 1.761010e+00 3.000259e-03 5.452633e-04
3.801889e-04 3.300000e+00 4.040000e+00 7.852807e-03 1.846947e+00 8.044779e-01 1.074701e+07 1.726608e+00 5.710721e-03 5.134344e-04
3.981066e-04 3.300000e+00 4.040000e+00 7.892266e-03 1.846488e+00 5.320299e-01 1.052398e+07 1.692246e+00 3.960848e-03 5.185604e-04
4.168688e-04 3.300000e+00 4.040000e+00 8.123319e-03 1.845986e+00 9.189755e-01 1.043008e+07 1.676691e+00 -3.943861e-03 5.071163e-04
4.365152e-04 3.300000e+00 4.040000e+00 8.092667e-03 1.845983e+00 1.080924e+00 1.036735e+07 1.666681e+00 -3.737211e-05 5.164146e-04
4.570875e-04 3.300000e+00 4.040000e+00 7.799019e-03 1.845541e+00 8.255718e-01 1.018365e+07 1.637845e+00 1.501203e-03 4.954338e-04
4.786294e-04 3.300000e+00 4.040000e+00 7.828702e-03 1.844991e+00 1.073244e+00 1.015232e+07 1.631734e+00 7.802367e-03 4.963875e-04
5.011865e-04 3.300000e+00 4.040000e+00 8.025118e-03 1.844929e+00 8.197285e-01 9.981444e+06 1.605469e+00 -1.014113e-03 4.749298e-04
5.248066e-04 3.300000e+00 4.040000e+00 7.917857e-03 1.844338e+00 1.574827e+00 9.941077e+06 1.599553e+00 -5.573034e-04 4.879236e-04
5.495400e-04 3.300000e+00 4.040000e+00 7.966112e-03 1.844022e+00 1.426042e+00 1.002628e+07 1.613216e+00 1.553404e-02 4.832745e-04
5.754390e-04 3.300000e+00 4.040000e+00 7.779199e-03 1.843536e+00 1.021800e+00 9.798209e+06 1.576344e+00 -6.127536e-03 4.731417e-04
6.025585e-04 3.300000e+00 4.040000e+00 7.992025e-03 1.843206e+00 1.225917e+00 9.674620e+06 1.555244e+00 5.317450e-03 4.724264e-04
6.309563e-04 3.300000e+00 4.040000e+00 7.888271e-03 1.843089e+00 1.010418e+00 9.678347e+06 1.557189e+00 -8.109391e-03 4.928112e-04
6.606923e-04 3.300000e+00 4.040000e+00 7.895182e-03 1.842615e+00 4.727544e-01 9.512138e+06 1.530564e+00 1.478374e-02 4.597902e-04
6.918297e-04 3.300000e+00 4.040000e+00 8.097071e-03 1.842450e+00 8.847153e-01 9.375051e+06 1.507540e+00 -3.745019e-03 4.568100e-04
7.244346e-04 3.300000e+00 4.040000e+00 7.807631e-03 1.841990e+00 7.036408e-01 9.346737e+06 1.502067e+00 -1.997173e-03 4.476309e-04
7.585761e-04 3.300000e+00 4.040000e+00 8.005859e-03 1.841799e+00 1.143083e-01 9.293236e+06 1.494711e+00 1.076710e-02 4.494190e-04
7.943267e-04 3.300000e+00 4.040000e+00 8.032559e-03 1.841278e+00 1.246915e+00 9.191961e+06 1.477232e+00 -9.340703e-03 4.352331e-04
8.317621e-04 3.300000e+00 4.040000e+00 8.148774e-03 1.840805e+00 1.206771e+00 9.213238e+06 1.481594e+00 -3.571570e-03 4.389286e-04
8.709618e-04 3.300000e+00 4.040000e+00 7.982755e-03 1.840770e+00 1.275459e+00 9.076602e+06 1.458230e+00 5.153656e-03 4.230738e-04
