#./overdamped_3d --dev=0 --amp=40.0 --omega=1.0 --force=0 --Dg=0.01 --block=256 --paths=262144 --periods=1000 --trans=100 --samples=100 --spp=500 --algorithm=euler --pav=1 --mode=moments --domain=1d --domainx=p:-3:2:300:1 --domainy=a:0:10:100:0 --domainz=D:-6:-1:100:1 --q=2 --eps=0 --phi=1.57079632679 --lambda=30.0 --zeta=0 --comp=0 --mean=1.0 --second=0.1 --skew=0.99 --distribution=s>> journal_3_s_0.1_p:-3:2:300:1_1.0_0.99_40.0.dat
#p <<v>> qnu(q) mu_q Dx Gx EBx
2.511874e+00 1.667849e-01 1.001017e+00 6.631154e+03 5.176017e-01 6.909966e-03 6.114721e-03
2.610145e+00 2.208408e-01 1.005662e+00 8.754875e+03 7.699518e-01 4.437447e-03 4.968762e-03
2.712260e+00 2.951822e-01 1.009468e+00 1.178390e+04 8.578252e-01 6.879807e-03 4.047632e-03
2.818370e+00 3.953635e-01 1.017650e+00 1.580757e+04 1.156340e+00 1.750350e-02 3.235221e-03
2.928631e+00 5.275100e-01 1.005642e+00 2.061394e+04 1.717998e+00 -1.372349e-02 2.577186e-03
3.043206e+00 6.952171e-01 1.008429e+00 2.721735e+04 2.182333e+00 -2.026552e-02 2.123833e-03
3.162263e+00 9.005785e-01 9.986250e-01 3.461483e+04 2.754017e+00 -1.771510e-03 1.762271e-03
3.285978e+00 1.141977e+00 1.001362e+00 4.337357e+04 3.832133e+00 -1.075190e-02 1.504540e-03
3.414533e+00 1.410900e+00 9.942263e-01 5.235751e+04 4.167313e+00 -2.023947e-02 1.295328e-03
3.548117e+00 1.677878e+00 9.813108e-01 6.055883e+04 5.056034e+00 -3.289032e-02 1.134157e-03
3.686928e+00 1.671717e+00 9.918964e-01 6.201409e+04 5.812338e+00 -2.333021e-02 1.189828e-03
3.831169e+00 1.616268e+00 9.934031e-01 6.063745e+04 5.397262e+00 -1.705718e-02 1.198173e-03
3.981053e+00 1.560946e+00 9.946367e-01 5.897076e+04 4.562654e+00 -1.383317e-02 1.266003e-03
4.136801e+00 1.506861e+00 9.942479e-01 5.762293e+04 4.282541e+00 -2.495861e-02 1.294136e-03
4.298642e+00 1.453611e+00 1.003640e+00 5.688211e+04 4.754913e+00 -3.546602e-02 1.402259e-03
4.466814e+00 1.402034e+00 9.975240e-01 5.440012e+04 4.357026e+00 -2.972710e-02 1.409411e-03
4.641566e+00 1.351474e+00 9.999790e-01 5.288367e+04 4.611037e+00 -3.333688e-02 1.461267e-03
