#./overdamped_3d --dev=0 --amp=40.0 --omega=1.0 --force=0 --Dg=0.01 --block=256 --paths=262144 --periods=1000 --trans=100 --samples=100 --spp=500 --algorithm=euler --pav=1 --mode=moments --domain=1d --domainx=p:-3:2:300:1 --domainy=a:0:10:100:0 --domainz=D:-6:-1:100:1 --q=2 --eps=0 --phi=1.57079632679 --lambda=30.0 --zeta=0 --comp=0 --mean=1.0 --second=1 --skew=0.99 --distribution=s>> journal_3_s_1_p:-3:2:300:1_1.0_0.99_40.0.dat
#p <<v>> qnu(q) mu_q Dx Gx EBx
3.414530e-01 2.770070e-01 9.908240e-01 1.067020e+04 8.632365e-01 -2.868217e-02 4.173994e-03
3.548115e-01 2.718279e-01 9.970560e-01 1.053246e+04 8.456498e-01 -2.124494e-02 4.326105e-03
3.686925e-01 2.669078e-01 9.902762e-01 1.026615e+04 8.213589e-01 -1.969409e-02 4.356146e-03
3.831166e-01 2.625502e-01 9.877557e-01 1.003714e+04 7.785064e-01 -1.991719e-02 4.376292e-03
3.981051e-01 2.584379e-01 9.884471e-01 9.895349e+03 7.490229e-01 -3.939748e-03 4.473448e-03
4.136799e-01 2.545485e-01 9.912137e-01 9.823967e+03 7.319137e-01 -8.204043e-03 4.600286e-03
4.298640e-01 2.511342e-01 9.914997e-01 9.648151e+03 7.019330e-01 2.839088e-03 4.603028e-03
4.466813e-01 2.478797e-01 9.860620e-01 9.479187e+03 6.952683e-01 -7.900476e-03 4.626393e-03
4.641565e-01 2.448724e-01 9.922670e-01 9.460158e+03 6.939951e-01 1.405180e-02 4.747152e-03
4.823154e-01 2.421981e-01 9.873597e-01 9.386563e+03 7.047977e-01 7.459402e-03 4.770041e-03
5.011847e-01 2.398643e-01 9.865245e-01 9.173717e+03 6.981331e-01 3.644705e-03 4.763126e-03
5.207922e-01 2.377236e-01 9.949037e-01 9.229610e+03 7.167543e-01 8.550882e-04 4.843831e-03
5.411668e-01 2.359452e-01 9.943938e-01 9.154155e+03 7.200567e-01 8.802414e-03 4.884362e-03
5.623385e-01 2.344488e-01 9.977040e-01 9.087358e+03 7.234189e-01 7.843733e-03 4.918814e-03
5.843385e-01 2.333497e-01 1.006255e+00 9.283062e+03 7.485852e-01 -4.454553e-03 5.051613e-03
6.071991e-01 2.324480e-01 1.010423e+00 9.219542e+03 7.500376e-01 -1.359582e-04 5.055785e-03
6.309542e-01 2.320090e-01 1.003504e+00 9.211033e+03 7.493213e-01 -1.728523e-02 5.082011e-03
6.556386e-01 2.316789e-01 1.002538e+00 9.132194e+03 7.493213e-01 -1.344848e-02 5.049229e-03
6.812887e-01 2.317424e-01 1.002219e+00 9.160444e+03 7.458796e-01 -3.161788e-03 5.062699e-03
7.079422e-01 2.322009e-01 9.996915e-01 9.078709e+03 7.358727e-01 -2.234453e-02 5.035281e-03
7.356386e-01 2.329421e-01 9.936986e-01 9.033977e+03 7.317546e-01 -2.005208e-02 4.979849e-03
7.644184e-01 2.339952e-01 1.001253e+00 9.226070e+03 7.414034e-01 -1.723778e-02 5.053639e-03
7.943242e-01 2.353462e-01 1.006680e+00 9.436559e+03 7.516291e-01 -2.413422e-02 5.112171e-03
8.254001e-01 2.371257e-01 1.004693e+00 9.438236e+03 7.332467e-01 -1.975191e-02 5.076408e-03
8.576916e-01 2.392500e-01 1.001873e+00 9.422484e+03 7.177688e-01 -3.192031e-02 4.989624e-03
8.912464e-01 2.417369e-01 1.003267e+00 9.554454e+03 7.161176e-01 -1.160783e-02 4.970908e-03
9.261141e-01 2.447461e-01 1.007598e+00 9.756247e+03 7.222650e-01 -2.589667e-02 4.983425e-03
9.623458e-01 2.481408e-01 9.964167e-01 9.651184e+03 7.069066e-01 8.368492e-04 4.877687e-03
9.999950e-01 2.521533e-01 9.841522e-01 9.677011e+03 7.151030e-01 1.050985e-02 4.752398e-03
1.039117e+00 2.564315e-01 9.848001e-01 9.856482e+03 7.365690e-01 1.010787e-02 4.661441e-03
1.079770e+00 2.614424e-01 9.874028e-01 1.009687e+04 7.750248e-01 -6.955981e-03 4.612088e-03
1.122013e+00 2.668737e-01 9.907794e-01 1.027805e+04 8.180564e-01 -1.473457e-02 4.542112e-03
1.165909e+00 2.729759e-01 9.881861e-01 1.056319e+04 8.561740e-01 -3.339708e-03 4.431129e-03
