#./underdamped_3d_var --dev=0 --amp=8.91 --omega=1.59 --force=0 --gam=0.03183 --Dg=0.5 --block=256 --paths=16384 --periods=1000000 --trans=100000 --samples=100 --spp=100 --algorithm=predcorr --icav=1 --pav=1 --mode=moments --domain=1d --domainx=D:-2:1:100:1 --domainy= --domainz= --q=2 --eps=0 --phi=0 --lambda=0 --Dp=0 --comp=0 --mean=0 >> fig1_omega1.59_amp8.91.dat
#D <<v>> <<v^2>> atav2 qnu(q) mu_q Dx Gx Gv EBx EBv
2.187754e+00 -3.265350e-06 1.450128e+01 1.374076e-04 9.946079e-01 1.934857e+09 2.448141e+02 -3.240919e-02 -2.894319e-01 -6.556511e-06 1.288698e+07
2.344221e+00 -9.687498e-05 1.468784e+01 1.404137e-04 1.010170e+00 1.981165e+09 2.506736e+02 -3.472382e-02 -2.770091e-01 1.549721e-06 1.496088e+04
2.511878e+00 4.459501e-07 1.488120e+01 1.453024e-04 1.001146e+00 2.053052e+09 2.597699e+02 -2.282041e-02 -2.715037e-01 -7.152557e-07 7.306345e+08
2.691526e+00 -1.891521e-04 1.508215e+01 1.467160e-04 9.900252e-01 2.079885e+09 2.631642e+02 -1.704395e-02 -2.678582e-01 8.344650e-07 4.099676e+03
2.884022e+00 -1.452212e-04 1.529123e+01 1.565597e-04 1.026680e+00 2.197189e+09 2.780069e+02 -2.430081e-02 -2.589743e-01 1.668930e-06 7.422694e+03
3.090285e+00 -1.321714e-04 1.550803e+01 1.562739e-04 9.891181e-01 2.208272e+09 2.794090e+02 -4.390079e-02 -2.726827e-01 2.503395e-06 8.944649e+03
3.311300e+00 -1.311917e-04 1.573434e+01 1.598799e-04 9.934036e-01 2.239327e+09 2.833377e+02 -4.498440e-02 -2.552772e-01 7.629395e-06 9.288268e+03
3.548122e+00 -7.595181e-05 1.596983e+01 1.668354e-04 1.015528e+00 2.346360e+09 2.968800e+02 -3.118771e-02 -2.613947e-01 -2.920628e-06 2.891991e+04
3.801881e+00 -2.752992e-04 1.621570e+01 1.685249e-04 1.001584e+00 2.373953e+09 3.003717e+02 -2.163672e-02 -2.600287e-01 1.382828e-05 2.222588e+03
4.073788e+00 -1.608811e-04 1.647263e+01 1.736045e-04 1.010302e+00 2.435187e+09 3.081200e+02 -2.497751e-02 -2.537065e-01 3.576279e-07 6.706345e+03
4.365143e+00 -3.827150e-04 1.674216e+01 1.772243e-04 9.978277e-01 2.475390e+09 3.132071e+02 -2.799165e-02 -2.523710e-01 5.602837e-06 1.208964e+03
4.677334e+00 -1.517820e-04 1.702595e+01 1.832726e-04 1.011356e+00 2.571086e+09 3.253142e+02 -4.175889e-02 -2.399939e-01 -1.251698e-06 7.954303e+03
5.011854e+00 -1.884410e-04 1.732313e+01 1.843670e-04 9.881786e-01 2.576275e+09 3.259721e+02 -3.320593e-02 -2.316332e-01 -8.225441e-06 5.190972e+03
5.370297e+00 -1.510794e-04 1.763707e+01 1.935484e-04 1.002982e+00 2.742940e+09 3.470577e+02 -2.983105e-02 -2.325312e-01 -1.788139e-07 8.478671e+03
5.754377e+00 -1.007674e-04 1.796905e+01 1.999846e-04 1.012813e+00 2.812311e+09 3.558361e+02 -2.899885e-02 -2.157626e-01 -5.364418e-07 1.969400e+04
6.165926e+00 -2.569637e-04 1.832041e+01 2.043581e-04 9.983405e-01 2.861126e+09 3.620129e+02 -2.116901e-02 -2.172590e-01 3.576279e-06 3.093912e+03
6.606908e+00 -9.124992e-05 1.869463e+01 2.119854e-04 1.002984e+00 2.985653e+09 3.777682e+02 -3.118116e-02 -2.129856e-01 3.576279e-06 2.545798e+04
7.079429e+00 -1.356056e-04 1.909282e+01 2.143624e-04 9.921647e-01 3.016433e+09 3.816670e+02 -3.582346e-02 -2.046680e-01 2.264977e-06 1.165618e+04
7.585744e+00 -2.783105e-04 1.951801e+01 2.256066e-04 1.005317e+00 3.144423e+09 3.978553e+02 -2.593869e-02 -1.967090e-01 5.245209e-06 2.911678e+03
8.128271e+00 -7.612046e-05 1.997225e+01 2.315755e-04 1.007192e+00 3.264618e+09 4.130665e+02 -4.705441e-02 -2.025896e-01 2.145767e-06 3.996492e+04
8.709599e+00 -3.307895e-04 2.045956e+01 2.440590e-04 1.006508e+00 3.395853e+09 4.296726e+02 -5.028552e-02 -1.950315e-01 2.503395e-06 2.229445e+03
9.332502e+00 -2.287652e-04 2.098255e+01 2.492169e-04 9.912868e-01 3.482593e+09 4.406453e+02 -2.559906e-02 -1.893090e-01 6.556511e-06 4.761089e+03
