#./underdamped_3d_var --dev=3 --amp=0 --omega=1.59 --force=0 --gam=0.03183 --Dg=0.1 --block=256 --paths=16384 --periods=1000000 --trans=100000 --samples=100 --spp=100 --algorithm=predcorr --icav=1 --pav=1 --mode=moments --domain=1d --domainx=a:0:35:100:0 --domainy= --domainz= --q=2 --eps=0 --phi=0 --lambda=0 --Dp=0 --comp=0 --mean=0 >> fig1_omega1.59_Dg0.1.dat
#a <<v>> <<v^2>> atav2 qnu(q) mu_q Dx Gx Gv EBx EBv
2.765002e+01 2.935447e-04 9.545871e+01 1.591509e-05 9.931518e-01 2.208615e+08 2.794519e+01 -1.012468e-02 -5.064883e-01 -5.722046e-06 1.836973e+02
2.800002e+01 3.617022e-04 9.545871e+01 3.508256e-05 1.006224e+00 4.890403e+08 6.187722e+01 1.111782e-02 -5.088171e-01 3.576279e-07 2.671569e+02
2.835002e+01 6.955195e-04 9.545871e+01 5.434732e-05 9.988012e-01 7.540129e+08 9.540354e+01 -9.245336e-03 -5.088328e-01 7.987022e-06 1.113465e+02
2.870002e+01 1.147670e-03 9.545871e+01 7.747713e-05 1.007467e+00 1.076185e+09 1.361672e+02 8.313417e-03 -5.034665e-01 1.907349e-06 5.782193e+01
2.905002e+01 1.729807e-03 9.545871e+01 9.741295e-05 9.735612e-01 1.308730e+09 1.655920e+02 -1.060259e-02 -5.093699e-01 -2.044439e-05 3.155529e+01
2.940002e+01 2.247577e-03 9.545871e+01 1.022493e-04 9.893494e-01 1.377596e+09 1.743056e+02 -4.331946e-03 -5.023599e-01 -2.797246e-04 1.924095e+01
2.975002e+01 2.191543e-03 9.545871e+01 8.461669e-05 9.809267e-01 1.118523e+09 1.415252e+02 -8.770585e-03 -5.054513e-01 -2.797246e-04 1.661798e+01
3.010002e+01 2.264003e-03 9.545871e+01 7.298874e-05 9.781905e-01 9.604515e+08 1.215242e+02 -2.464563e-02 -5.039389e-01 -2.797246e-04 1.323973e+01
3.045002e+01 1.734030e-03 9.545871e+01 6.321353e-05 1.009861e+00 8.423946e+08 1.065865e+02 7.902384e-04 -5.061001e-01 -2.797246e-04 2.002310e+01
3.080002e+01 8.420548e-04 9.545871e+01 4.888155e-05 9.926295e-01 6.718756e+08 8.501111e+01 1.612759e-02 -4.999665e-01 -2.797246e-04 6.793888e+01
3.115002e+01 7.021989e-04 9.545871e+01 3.532426e-05 1.012301e+00 4.923566e+08 6.229700e+01 4.026639e-02 -5.061914e-01 -2.797246e-04 7.063954e+01
3.150002e+01 4.330760e-04 9.545871e+01 1.973057e-05 1.006741e+00 2.746564e+08 3.475166e+01 -1.831055e-04 -5.041934e-01 -2.797246e-04 1.041989e+02
3.185002e+01 1.968921e-04 9.545872e+01 7.440374e-06 9.916309e-01 1.047292e+08 1.325118e+01 -1.316428e-02 -5.081415e-01 -2.797246e-04 1.909279e+02
3.220002e+01 1.327126e-04 9.545879e+01 1.938099e-06 9.758192e-01 2.696751e+07 3.412145e+00 4.274726e-03 -5.059912e-01 -2.797246e-04 1.090402e+02
3.255002e+01 6.716367e-05 9.545879e+01 4.378038e-07 8.984268e-01 6.341514e+06 8.023844e-01 -1.496595e-02 -5.070771e-01 -2.797246e-04 9.605338e+01
3.290002e+01 1.655569e-05 9.545872e+01 1.395573e-07 7.227508e-01 2.271172e+06 2.873674e-01 1.038587e-02 -5.061488e-01 -2.797246e-04 5.081641e+02
3.325002e+01 2.685967e-05 9.545871e+01 6.868203e-08 5.507700e-01 1.269506e+06 1.606286e-01 5.913341e-02 -5.096949e-01 -2.797246e-04 9.420110e+01
3.360002e+01 1.959182e-05 9.545871e+01 4.624309e-08 4.482211e-01 9.771176e+05 1.236327e-01 1.147552e-01 -5.087577e-01 -2.797246e-04 1.194751e+02
3.395002e+01 2.257968e-05 9.546008e+01 5.566008e-08 5.122311e-01 1.091876e+06 1.381528e-01 7.844508e-02 -5.073074e-01 -2.797246e-04 1.081713e+02
3.430001e+01 1.541715e-05 9.550148e+01 9.861417e-08 6.735280e-01 1.683160e+06 2.129665e-01 2.848816e-02 -5.108036e-01 -2.797246e-04 4.138883e+02
3.465001e+01 3.068899e-05 9.611107e+01 2.022953e-07 7.982978e-01 3.121442e+06 3.949506e-01 -1.176322e-02 -5.057302e-01 -2.797246e-04 2.137933e+02
